level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	0	462	1653	1454	-1	
3	1	1	1	0	0	0	462	1653	1454	-1	
4	1	1	1	1	0	0	462	1642	90	-1	
5	1	1	1	1	1	0	530	86	22	27.564362	a
5	1	1	1	1	2	150	462	37	52	45.247734	7
5	1	1	1	1	3	886	479	28	58	14.887054	()
5	1	1	1	1	4	1108	490	6	7	37.029861	‘
5	1	1	1	1	5	1221	540	4	7	53.772194	:
5	1	1	1	1	6	1337	467	87	68	27.293976	=e
5	1	1	1	1	7	1451	468	9	7	41.965027	i
5	1	1	1	1	8	1616	470	26	28	0.000000	)
4	1	1	1	2	0	162	867	1491	143	-1	
5	1	1	1	2	1	162	967	87	6	10.582336	ys
5	1	1	1	2	2	628	867	81	143	70.246666	7
5	1	1	1	2	3	1064	904	169	62	43.494545	ars
5	1	1	1	2	4	1320	956	4	5	88.936829	|
5	1	1	1	2	5	1649	941	4	2	77.786316	|
4	1	1	1	3	0	534	1064	791	45	-1	
5	1	1	1	3	1	534	1064	22	45	55.487228	ine
5	1	1	1	3	2	1118	1065	9	27	91.326294	\
5	1	1	1	3	3	1170	1067	35	26	58.711823	1
5	1	1	1	3	4	1309	1070	16	6	0.186302	pe
4	1	1	1	4	0	290	1317	1298	67	-1	
5	1	1	1	4	1	290	1320	176	64	96.353806	Wang
5	1	1	1	4	2	490	1320	152	48	95.558655	Xuan
5	1	1	1	4	3	668	1317	220	66	96.365097	bravely
5	1	1	1	4	4	905	1317	136	52	96.676994	took
5	1	1	1	4	5	1061	1335	72	34	96.421875	on
5	1	1	1	4	6	1154	1317	104	51	96.454773	this
5	1	1	1	4	7	1280	1317	308	66	96.545143	challenge.
4	1	1	1	5	0	162	1405	1379	67	-1	
5	1	1	1	5	1	162	1409	78	48	95.513947	He
5	1	1	1	5	2	260	1423	116	34	95.513947	was
5	1	1	1	5	3	397	1405	158	67	95.804550	good
5	1	1	1	5	4	578	1415	59	42	95.420120	at
5	1	1	1	5	5	653	1405	242	67	95.420120	thinking
5	1	1	1	5	6	921	1409	47	47	96.280495	in
5	1	1	1	5	7	991	1424	33	32	96.576469	a
5	1	1	1	5	8	1046	1409	239	48	96.211586	creative
5	1	1	1	5	9	1305	1424	133	48	96.713669	way.
5	1	1	1	5	10	1462	1409	79	48	96.816498	He
4	1	1	1	6	0	159	1494	1358	67	-1	
5	1	1	1	6	1	159	1494	172	52	87.776756	didn’t
5	1	1	1	6	2	351	1494	204	67	96.484230	always
5	1	1	1	6	3	575	1494	260	60	95.729759	succeed,
5	1	1	1	6	4	862	1494	96	52	96.764236	but
5	1	1	1	6	5	981	1494	68	52	96.086151	he
5	1	1	1	6	6	1073	1512	166	34	96.628120	never
5	1	1	1	6	7	1258	1512	146	49	96.539284	gave
5	1	1	1	6	8	1427	1512	90	49	96.413200	up.
4	1	1	1	7	0	289	1582	1257	68	-1	
5	1	1	1	7	1	289	1582	153	53	95.203957	After
5	1	1	1	7	2	464	1583	103	52	95.203957	lots
5	1	1	1	7	3	589	1582	60	53	96.762871	of
5	1	1	1	7	4	669	1583	134	51	96.924980	hard
5	1	1	1	7	5	824	1583	163	60	96.535072	work,
5	1	1	1	7	6	1010	1586	176	64	95.785484	Wang
5	1	1	1	7	7	1208	1586	152	48	96.731293	Xuan
5	1	1	1	7	8	1384	1600	162	35	96.806129	came
4	1	1	1	8	0	161	1671	1249	67	-1	
5	1	1	1	8	1	161	1689	73	49	96.601265	up
5	1	1	1	8	2	254	1671	124	52	96.601265	with
5	1	1	1	8	3	402	1690	32	32	96.103035	a
5	1	1	1	8	4	458	1675	204	63	96.103035	unique
5	1	1	1	8	5	684	1671	254	52	96.638573	solution.
5	1	1	1	8	6	963	1675	87	48	96.607803	His
5	1	1	1	8	7	1068	1671	342	67	95.972092	technology
4	1	1	1	9	0	157	1759	1456	53	-1	
5	1	1	1	9	1	157	1760	242	52	96.474640	worked!
5	1	1	1	9	2	422	1760	330	52	96.208084	Thousands
5	1	1	1	9	3	774	1759	61	53	96.825623	of
5	1	1	1	9	4	852	1760	240	52	96.035477	Chinese
5	1	1	1	9	5	1114	1760	317	52	96.343353	characters
5	1	1	1	9	6	1451	1760	162	52	96.760330	could
4	1	1	1	10	0	161	1848	1428	68	-1	
5	1	1	1	10	1	161	1849	72	52	96.992813	be
5	1	1	1	10	2	256	1849	170	67	96.746773	easily
5	1	1	1	10	3	444	1849	191	52	96.526550	stored
5	1	1	1	10	4	660	1852	47	48	94.655098	in
5	1	1	1	10	5	731	1859	337	57	96.747391	computers.
5	1	1	1	10	6	1088	1849	149	52	95.544243	Then
5	1	1	1	10	7	1263	1848	67	53	96.894356	he
5	1	1	1	10	8	1352	1858	147	43	96.947220	went
5	1	1	1	10	9	1518	1867	71	34	96.553291	on
