level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	299	368	1479	1832	-1	
3	1	1	1	0	0	274	368	1389	1767	-1	
4	1	1	1	1	0	445	368	1017	106	-1	
5	1	1	1	1	1	445	386	41	88	0.000000	‘
5	1	1	1	1	2	821	444	4	17	22.784180	OC
5	1	1	1	1	3	1056	376	102	57	28.908897	Ge
5	1	1	1	1	4	1338	368	124	105	0.000000	~s£
4	1	1	1	2	0	299	1448	498	104	-1	
5	1	1	1	2	1	299	1516	10	15	73.695282	A
5	1	1	1	2	2	385	1503	44	35	37.016464	ya
5	1	1	1	2	3	534	1458	97	94	44.035603	é&
5	1	1	1	2	4	707	1448	90	24	38.243256	=a
4	1	1	1	3	0	385	1666	1131	129	-1	
5	1	1	1	3	1	274	1673	258	93	16.078987	EY
5	1	1	1	3	2	629	1666	234	88	27.562859	yoke
5	1	1	1	3	3	1264	1681	252	102	27.015640	one
4	1	1	1	4	0	524	1765	1035	140	-1	
5	1	1	1	4	1	524	1765	126	81	32.851982	ww’
5	1	1	1	4	2	673	1776	48	62	20.946342	J
5	1	1	1	4	3	1098	1782	272	123	35.904968	woe
5	1	1	1	4	4	1516	1770	43	56	27.229660	5
4	1	1	1	5	0	1224	1812	269	89	-1	
5	1	1	1	5	1	1224	1820	195	81	52.785564	wey
5	1	1	1	5	2	1460	1812	33	53	68.184982	6
4	1	1	1	6	0	1482	1929	103	23	-1	
5	1	1	1	6	1	1482	1929	12	23	62.571957	+
5	1	1	1	6	2	1565	1944	20	8	28.166649	Pe
4	1	1	1	7	0	1162	1964	469	54	-1	
5	1	1	1	7	1	1162	1964	9	54	44.637604	(
5	1	1	1	7	2	1562	1968	69	39	16.197861	ee
4	1	1	1	8	0	912	1994	651	49	-1	
5	1	1	1	8	1	912	2020	26	14	31.801926	7
5	1	1	1	8	2	1008	1994	113	49	42.512810	on.
5	1	1	1	8	3	1538	2007	25	30	80.677994	©
4	1	1	1	9	0	736	1945	927	194	-1	
5	1	1	1	9	1	736	1945	191	194	34.130997	oa
5	1	1	1	9	2	1006	2069	128	66	34.130997	—
5	1	1	1	9	3	1560	2010	103	86	89.490463	©
