level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	20	430	1551	1412	-1	
3	1	1	1	0	0	161	430	1360	244	-1	
4	1	1	1	1	0	295	430	937	67	-1	
5	1	1	1	1	1	295	433	144	64	96.077477	Long
5	1	1	1	1	2	462	448	115	49	94.131767	ago
5	1	1	1	1	3	601	433	46	48	96.284416	in
5	1	1	1	1	4	671	430	189	60	96.588341	China,
5	1	1	1	1	5	885	430	182	52	96.425758	books
5	1	1	1	1	6	1086	448	146	34	96.681015	were
4	1	1	1	2	0	162	518	1359	68	-1	
5	1	1	1	2	1	162	518	380	53	95.934296	handwritten.
5	1	1	1	2	2	563	518	120	52	96.318604	This
5	1	1	1	2	3	707	518	169	52	96.318604	made
5	1	1	1	2	4	895	518	153	52	96.709221	them
5	1	1	1	2	5	1073	522	315	64	96.099678	expensive.
5	1	1	1	2	6	1414	522	107	48	97.010559	Not
4	1	1	1	3	0	161	607	967	67	-1	
5	1	1	1	3	1	161	625	162	49	96.492714	many
5	1	1	1	3	2	346	607	209	67	96.028572	people
5	1	1	1	3	3	577	607	162	52	96.462952	could
5	1	1	1	3	4	766	607	140	52	95.357712	have
5	1	1	1	3	5	931	607	197	52	96.845398	books.
3	1	1	2	0	0	158	696	1413	422	-1	
4	1	1	2	1	0	295	696	1266	67	-1	
5	1	1	2	1	1	295	699	159	57	95.486076	Later,
5	1	1	2	1	2	476	696	339	52	95.486076	woodblock
5	1	1	2	1	3	837	699	230	64	95.582748	printing
5	1	1	2	1	4	1089	714	116	34	96.553986	was
5	1	1	2	1	5	1227	696	274	52	95.546982	invented.
5	1	1	2	1	6	1527	699	34	48	94.549210	It
4	1	1	2	2	0	158	784	1400	68	-1	
5	1	1	2	2	1	158	803	116	33	96.688698	was
5	1	1	2	2	2	297	784	96	53	96.604294	like
5	1	1	2	2	3	417	788	156	64	96.644165	using
5	1	1	2	2	4	596	803	32	32	95.820259	a
5	1	1	2	2	5	654	785	91	67	95.794510	big
5	1	1	2	2	6	769	794	201	58	95.794510	stamp.
5	1	1	2	2	7	996	785	204	67	96.460716	People
5	1	1	2	2	8	1219	784	117	53	96.653336	first
5	1	1	2	2	9	1355	785	203	52	95.828392	carved
4	1	1	2	3	0	159	873	1305	67	-1	
5	1	1	2	3	1	159	873	317	52	96.412476	characters
5	1	1	2	3	2	496	873	112	52	96.370094	and
5	1	1	2	3	3	635	877	238	63	96.851051	pictures
5	1	1	2	3	4	894	891	71	34	96.946930	on
5	1	1	2	3	5	988	873	243	52	95.784569	wooden
5	1	1	2	3	6	1257	873	207	52	96.192909	blocks.
4	1	1	2	4	0	162	962	1349	67	-1	
5	1	1	2	4	1	162	965	154	57	96.185837	Next,
5	1	1	2	4	2	336	962	131	67	96.185837	they
5	1	1	2	4	3	489	971	97	58	96.542068	put
5	1	1	2	4	4	607	962	86	51	95.849434	ink
5	1	1	2	4	5	713	980	71	34	95.598068	on
5	1	1	2	4	6	805	962	95	52	95.598068	the
5	1	1	2	4	7	925	962	207	52	96.788307	blocks.
5	1	1	2	4	8	1157	962	202	67	96.139435	Finally,
5	1	1	2	4	9	1379	962	132	67	96.786201	they
4	1	1	2	5	0	162	1050	1409	68	-1	
5	1	1	2	5	1	162	1050	233	68	96.726921	pressed
5	1	1	2	5	2	422	1068	179	50	96.726921	paper
5	1	1	2	5	3	620	1068	71	35	95.483719	on
5	1	1	2	5	4	712	1050	163	53	96.183327	these
5	1	1	2	5	5	900	1051	207	52	96.366287	blocks.
5	1	1	2	5	6	1132	1054	46	48	94.238144	In
5	1	1	2	5	7	1199	1050	104	53	96.957207	this
5	1	1	2	5	8	1324	1069	131	49	96.723137	way,
5	1	1	2	5	9	1475	1050	96	53	96.723137	the
3	1	1	3	0	0	20	1605	1480	237	-1	
4	1	1	3	1	0	63	1610	1057	47	-1	
5	1	1	3	1	1	63	1610	71	47	39.799763	Lal
5	1	1	3	1	2	716	1629	31	27	73.731812	a4
5	1	1	3	1	3	791	1612	34	20	17.721977	Pe
5	1	1	3	1	4	1060	1630	60	23	79.074234	=<
4	1	1	3	2	0	23	1713	1301	57	-1	
5	1	1	3	2	1	23	1713	122	37	8.247681	6
5	1	1	3	2	2	227	1752	24	6	23.120667	Bee
5	1	1	3	2	3	323	1709	80	63	0.000000	Exe
5	1	1	3	2	4	423	1709	79	63	24.856079	Bile
5	1	1	3	2	5	734	1745	8	19	33.168068	:
5	1	1	3	2	6	987	1740	14	8	36.322746	aa
5	1	1	3	2	7	1080	1738	28	32	26.526482	©
4	1	1	3	3	0	20	1751	1314	91	-1	
5	1	1	3	3	1	20	1765	62	51	52.913380	SS
5	1	1	3	3	2	126	1766	65	48	29.886597	OF
5	1	1	3	3	3	217	1772	161	37	24.620621	Sin
5	1	1	3	3	4	427	1766	72	51	27.988785	co
5	1	1	3	3	5	569	1802	31	15	31.454208	ee
5	1	1	3	3	6	716	1768	118	67	49.090919	A
5	1	1	3	3	7	799	1744	33	95	10.698547	©
5	1	1	3	3	8	999	1782	8	8	14.602669	ae
5	1	1	3	3	9	1086	1746	43	100	8.932259	Fe
5	1	1	3	3	10	1161	1780	15	62	74.409821	|
5	1	1	3	3	11	1221	1751	113	78	35.676674	=.
5	1	1	3	3	12	1459	1766	41	35	32.653824	*
