level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	9	164	1769	2036	-1	
3	1	1	1	0	0	2	164	1776	2036	-1	
4	1	1	1	1	0	294	164	1322	67	-1	
5	1	1	1	1	1	294	167	199	64	94.693459	During
5	1	1	1	1	2	514	164	96	52	95.736961	the
5	1	1	1	1	3	631	167	115	64	95.517662	trip,
5	1	1	1	1	4	771	182	86	49	95.517662	my
5	1	1	1	1	5	876	182	147	34	96.769577	arms
5	1	1	1	1	6	1044	164	112	52	95.606133	and
5	1	1	1	1	7	1183	164	142	52	96.722954	back
5	1	1	1	1	8	1347	164	134	60	95.751801	hurt,
5	1	1	1	1	9	1504	164	112	52	95.751801	and
4	1	1	1	2	0	161	252	1147	67	-1	
5	1	1	1	2	1	161	271	86	48	96.262192	my
5	1	1	1	2	2	266	253	113	51	95.983643	skin
5	1	1	1	2	3	404	262	100	57	96.095245	got
5	1	1	1	2	4	524	252	206	52	96.608795	darker.
5	1	1	1	2	5	756	256	96	48	96.643738	But
5	1	1	1	2	6	875	256	8	47	96.535912	|
5	1	1	1	2	7	907	271	117	33	96.657303	saw
5	1	1	1	2	8	1047	252	261	52	96.582054	beautiful
4	1	1	1	3	0	159	340	1456	68	-1	
5	1	1	1	3	1	159	340	357	68	91.580429	dragonflies,
5	1	1	1	3	2	542	341	139	52	96.712494	lotus
5	1	1	1	3	3	701	340	218	53	96.787048	flowers
5	1	1	1	3	4	940	341	112	52	96.517349	and
5	1	1	1	3	5	1079	359	161	49	96.517349	many
5	1	1	1	3	6	1260	351	171	42	96.800812	water
5	1	1	1	3	7	1454	341	161	52	96.872345	birds.
4	1	1	1	4	0	161	429	1425	68	-1	
5	1	1	1	4	1	161	433	8	48	88.916656	|
5	1	1	1	4	2	193	430	120	52	93.876862	also
5	1	1	1	4	3	334	448	117	34	96.181381	saw
5	1	1	1	4	4	471	449	32	32	96.181381	a
5	1	1	1	4	5	528	430	91	67	96.121346	big
5	1	1	1	4	6	645	430	245	52	96.121346	rainbow
5	1	1	1	4	7	907	429	85	53	96.049767	for
5	1	1	1	4	8	1008	430	96	52	96.938553	the
5	1	1	1	4	9	1123	429	116	53	95.988419	first
5	1	1	1	4	10	1256	433	150	49	96.210876	time!
5	1	1	1	4	11	1430	430	122	52	96.210876	And
5	1	1	1	4	12	1578	433	8	48	96.722382	|
4	1	1	1	5	0	161	518	1441	67	-1	
5	1	1	1	5	1	161	519	173	51	96.311775	learnt
5	1	1	1	5	2	353	518	178	52	95.819237	about
5	1	1	1	5	3	548	519	95	51	96.592010	the
5	1	1	1	5	4	669	519	202	66	96.335831	history
5	1	1	1	5	5	891	518	60	52	96.840599	of
5	1	1	1	5	6	965	519	96	51	96.923546	the
5	1	1	1	5	7	1083	518	187	53	96.834839	Grand
5	1	1	1	5	8	1294	519	172	52	95.669754	Canal
5	1	1	1	5	9	1489	519	113	51	96.541733	and
4	1	1	1	6	0	156	607	1177	67	-1	
5	1	1	1	6	1	156	607	97	52	96.765007	felt
5	1	1	1	6	2	274	611	64	48	96.741493	its
5	1	1	1	6	3	359	607	208	67	71.132187	special
5	1	1	1	6	4	591	607	204	52	93.842018	charm.
5	1	1	1	6	5	820	611	7	47	93.842018	|
5	1	1	1	6	6	851	625	115	34	95.793793	was
5	1	1	1	6	7	986	625	128	49	95.793793	very
5	1	1	1	6	8	1137	607	196	67	95.992477	proud!
4	1	1	1	7	0	546	736	921	79	-1	
5	1	1	1	7	1	546	806	48	9	30.747536	<<
5	1	1	1	7	2	760	790	4	2	55.591854	~~
5	1	1	1	7	3	803	809	6	6	46.118660	FF.
5	1	1	1	7	4	912	771	33	39	68.819016	=
5	1	1	1	7	5	1350	736	117	78	51.657673	>
4	1	1	1	8	0	18	878	1721	21	-1	
5	1	1	1	8	1	2	879	38	20	28.902557	So,
5	1	1	1	8	2	55	880	83	18	18.984711	weenie
5	1	1	1	8	3	157	882	79	17	22.456757	ee
5	1	1	1	8	4	284	879	3	3	0.000000	~
5	1	1	1	8	5	299	879	65	15	33.802063	OOM
5	1	1	1	8	6	406	879	79	19	22.136169	ee
5	1	1	1	8	7	645	878	5	5	5.186234	-
5	1	1	1	8	8	858	880	102	19	26.205223	may
5	1	1	1	8	9	1035	894	4	4	0.000000	r
5	1	1	1	8	10	1669	896	3	2	61.104294	:
5	1	1	1	8	11	1732	895	7	4	92.966782	=
4	1	1	1	9	0	25	1267	1753	36	-1	
5	1	1	1	9	1	25	1296	3	7	54.811737	{
5	1	1	1	9	2	130	1274	6	4	35.993942	>
5	1	1	1	9	3	210	1274	10	3	0.000000	~
5	1	1	1	9	4	280	1280	136	23	2.532539	————
5	1	1	1	9	5	549	1289	7	2	88.047752	=
5	1	1	1	9	6	635	1276	165	25	37.109062	SSS
5	1	1	1	9	7	818	1277	250	25	54.582520	SSS
