level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	159	163	1600	2013	-1	
3	1	1	1	0	0	159	163	1605	2013	-1	
4	1	1	1	1	0	519	163	1090	68	-1	
5	1	1	1	1	1	519	163	149	53	96.770966	Then
5	1	1	1	1	2	691	163	237	53	96.544731	another
5	1	1	1	1	3	946	173	168	58	96.601089	guest
5	1	1	1	1	4	1133	163	138	61	96.656731	said,
5	1	1	1	1	5	1293	163	192	53	96.330452	“Walls
5	1	1	1	1	6	1505	181	104	35	96.330452	can
4	1	1	1	2	0	391	252	1184	68	-1	
5	1	1	1	2	1	391	252	163	53	96.904434	block
5	1	1	1	2	2	570	252	95	53	96.680252	the
5	1	1	1	2	3	686	252	160	61	96.847321	wind,
5	1	1	1	2	4	868	270	66	35	95.578346	so
5	1	1	1	2	5	954	252	121	68	96.415344	why
5	1	1	1	2	6	1096	262	96	43	96.607101	not
5	1	1	1	2	7	1212	252	97	53	95.927193	call
5	1	1	1	2	8	1332	270	134	50	96.260994	your
5	1	1	1	2	9	1485	262	90	43	96.875740	cat
4	1	1	1	3	0	386	340	322	54	-1	
5	1	1	1	3	1	386	340	132	52	96.637398	Wall
5	1	1	1	3	2	541	343	167	51	96.165039	Cat?”
4	1	1	1	4	0	289	429	1206	68	-1	
5	1	1	1	4	1	289	433	96	49	96.818451	Yet
5	1	1	1	4	2	403	429	238	53	96.281105	another
5	1	1	1	4	3	660	439	168	58	96.686798	guest
5	1	1	1	4	4	847	429	212	61	96.429245	added,
5	1	1	1	4	5	1083	433	128	49	96.345345	“But
5	1	1	1	4	6	1233	433	137	49	96.489822	mice
5	1	1	1	4	7	1393	447	102	35	96.567810	can
4	1	1	1	5	0	161	518	1337	68	-1	
5	1	1	1	5	1	161	518	161	53	95.994362	make
5	1	1	1	5	2	345	518	157	53	95.994362	holes
5	1	1	1	5	3	524	522	47	47	95.781830	in
5	1	1	1	5	4	593	518	167	53	95.781830	walls.
5	1	1	1	5	5	779	522	110	49	96.167259	You
5	1	1	1	5	6	912	518	199	53	96.889366	should
5	1	1	1	5	7	1134	518	98	53	96.606277	call
5	1	1	1	5	8	1254	536	134	50	96.350166	your
5	1	1	1	5	9	1407	528	91	43	96.831871	cat
4	1	1	1	6	0	161	609	367	51	-1	
5	1	1	1	6	1	161	610	198	50	95.833961	Mouse
5	1	1	1	6	2	382	609	146	50	93.305344	Cat.”
4	1	1	1	7	0	289	695	1205	68	-1	
5	1	1	1	7	1	289	699	81	48	93.237144	An
5	1	1	1	7	2	394	695	93	53	93.237144	old
5	1	1	1	7	3	512	713	127	34	94.051521	man
5	1	1	1	7	4	665	695	261	68	95.748070	laughed,
5	1	1	1	7	5	949	699	230	49	95.787201	“Mouse
5	1	1	1	7	6	1201	698	137	50	96.541435	Cat?
5	1	1	1	7	7	1359	698	135	50	95.755074	Cats
4	1	1	1	8	0	159	784	1392	68	-1	
5	1	1	1	8	1	159	784	158	53	96.548523	catch
5	1	1	1	8	2	342	788	153	57	96.474564	mice,
5	1	1	1	8	3	517	784	156	53	77.444611	don’t
5	1	1	1	8	4	690	784	162	68	96.650108	they?
5	1	1	1	8	5	867	780	26	77	96.044762	A
5	1	1	1	8	6	937	794	90	43	96.044762	cat
5	1	1	1	8	7	1047	788	42	49	96.721741	is
5	1	1	1	8	8	1104	788	110	64	96.207802	just
5	1	1	1	8	9	1233	803	33	33	95.249420	a
5	1	1	1	8	10	1289	794	106	43	95.249420	cat.
5	1	1	1	8	11	1415	784	136	68	96.820023	Why
4	1	1	1	9	0	159	866	1198	317	-1	
5	1	1	1	9	1	159	873	97	52	96.130920	call
5	1	1	1	9	2	281	876	35	49	96.130920	it
5	1	1	1	9	3	335	873	263	68	96.588646	anything
5	1	1	1	9	4	621	873	177	52	96.364807	else?”
5	1	1	1	9	5	1198	866	159	317	63.566273	2
4	1	1	1	10	0	1587	2026	172	150	-1	
5	1	1	1	10	1	224	2076	20	21	63.761353	y
5	1	1	1	10	2	1587	2040	46	32	96.988228	29
5	1	1	1	10	3	1721	2026	38	150	70.317383	)
