level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	0	164	1607	2036	-1	
3	1	1	1	0	0	159	164	1319	244	-1	
4	1	1	1	1	0	289	164	1189	67	-1	
5	1	1	1	1	1	289	164	111	52	96.318550	The
5	1	1	1	1	2	421	182	185	49	96.148933	young
5	1	1	1	1	3	633	181	126	34	96.734085	man
5	1	1	1	1	4	783	173	100	58	96.772881	got
5	1	1	1	1	5	901	173	60	43	93.303909	to
5	1	1	1	1	6	985	164	252	52	90.608421	Handan.
5	1	1	1	1	7	1263	167	78	49	96.359383	He
5	1	1	1	1	8	1361	182	117	34	96.515152	was
4	1	1	1	2	0	159	252	1287	68	-1	
5	1	1	1	2	1	159	256	151	64	96.287231	quite
5	1	1	1	2	2	331	252	296	68	96.738991	surprised.
5	1	1	1	2	3	653	256	276	64	96.562981	Everyone
5	1	1	1	2	4	954	252	130	52	96.562981	here
5	1	1	1	2	5	1105	252	212	53	96.673950	walked
5	1	1	1	2	6	1343	256	47	47	71.014908	in
5	1	1	1	2	7	1413	271	33	32	71.014908	a
4	1	1	1	3	0	159	340	819	68	-1	
5	1	1	1	3	1	159	340	259	53	96.410164	different
5	1	1	1	3	2	441	341	96	52	96.141098	but
5	1	1	1	3	3	560	340	263	53	96.434288	beautiful
5	1	1	1	3	4	845	360	133	48	96.027802	way.
3	1	1	2	0	0	157	429	1436	245	-1	
4	1	1	2	1	0	289	429	1304	68	-1	
5	1	1	2	1	1	289	430	112	52	96.581528	The
5	1	1	2	1	2	421	448	185	49	96.289009	young
5	1	1	2	1	3	633	448	126	33	93.463120	man
5	1	1	2	1	4	780	430	139	52	93.463120	tried
5	1	1	2	1	5	939	439	60	43	96.422752	to
5	1	1	2	1	6	1021	448	144	49	95.593422	copy
5	1	1	2	1	7	1184	430	141	52	95.593422	each
5	1	1	2	1	8	1349	429	60	53	96.595406	of
5	1	1	2	1	9	1424	430	169	60	96.312828	them,
4	1	1	2	2	0	162	518	1309	53	-1	
5	1	1	2	2	1	162	518	96	53	96.709053	but
5	1	1	2	2	2	280	518	69	52	96.246155	he
5	1	1	2	2	3	372	518	241	53	8.363815	couldn't
5	1	1	2	2	4	636	518	147	52	96.462959	learn
5	1	1	2	2	5	806	518	64	51	95.594757	all
5	1	1	2	2	6	892	518	95	53	96.846245	the
5	1	1	2	2	7	1010	518	259	53	96.181938	different
5	1	1	2	2	8	1286	518	185	53	96.317802	walks.
4	1	1	2	3	0	157	606	1436	68	-1	
5	1	1	2	3	1	157	607	208	52	84.813889	What's
5	1	1	2	3	2	390	625	167	42	96.700958	more,
5	1	1	2	3	3	582	607	69	52	96.700958	he
5	1	1	2	3	4	671	606	187	68	95.725975	forgot
5	1	1	2	3	5	881	607	78	52	95.826103	his
5	1	1	2	3	6	980	625	122	34	96.578568	own
5	1	1	2	3	7	1125	626	121	48	95.644295	way
5	1	1	2	3	8	1266	606	60	53	96.442108	of
5	1	1	2	3	9	1342	607	251	67	95.963051	walking!
3	1	1	3	0	0	162	696	1316	141	-1	
4	1	1	3	1	0	294	696	1184	67	-1	
5	1	1	3	1	1	294	699	47	48	94.730774	In
5	1	1	3	1	2	362	696	95	52	95.379929	the
5	1	1	3	1	3	480	696	128	60	95.379929	end,
5	1	1	3	1	4	628	696	96	52	96.659286	the
5	1	1	3	1	5	744	714	186	49	96.827507	young
5	1	1	3	1	6	956	714	127	33	95.360672	man
5	1	1	3	1	7	1108	696	110	52	95.360672	had
5	1	1	3	1	8	1240	705	58	43	95.947952	to
5	1	1	3	1	9	1321	696	157	52	96.470863	crawl
4	1	1	3	2	0	162	784	527	53	-1	
5	1	1	3	2	1	162	784	143	53	96.949043	back
5	1	1	3	2	2	321	794	60	43	96.491882	to
5	1	1	3	2	3	405	784	78	53	96.045158	his
5	1	1	3	2	4	506	784	183	53	96.408997	home.
3	1	1	4	0	0	0	889	1611	1294	-1	
4	1	1	4	1	0	256	889	1028	172	-1	
5	1	1	4	1	1	256	889	158	172	30.645844	be
5	1	1	4	1	2	1111	918	173	98	65.672104	NA
4	1	1	4	2	0	331	1006	986	110	-1	
5	1	1	4	2	1	331	1006	84	110	4.400246	“4
5	1	1	4	2	2	1167	1029	150	62	33.638702	8
4	1	1	4	3	0	0	1465	1384	63	-1	
5	1	1	4	3	1	0	1465	5	44	56.492996	|
5	1	1	4	3	2	509	1470	182	28	37.005924	cele
5	1	1	4	3	3	896	1478	31	11	78.681618	~
5	1	1	4	3	4	1117	1469	267	59	30.141693	nS
4	1	1	4	4	0	399	1825	949	137	-1	
5	1	1	4	4	1	399	1825	252	137	0.000000	bade
5	1	1	4	4	2	1345	1833	3	2	62.694035	|
4	1	1	4	5	0	604	1953	458	77	-1	
5	1	1	4	5	1	604	1953	93	77	40.913448	hs
5	1	1	4	5	2	1058	2020	4	2	0.000000	.
4	1	1	4	6	0	147	2025	1460	175	-1	
5	1	1	4	6	1	147	2039	46	32	0.000000	s
5	1	1	4	6	2	775	2025	832	175	31.844955	-~...—.
