level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	0	304	1611	1317	-1	
3	1	1	1	0	0	0	304	1611	484	-1	
4	1	1	1	1	0	493	304	1045	77	-1	
5	1	1	1	1	1	493	305	186	75	43.690720	‘Hye
5	1	1	1	1	2	717	305	295	76	96.338081	Grand
5	1	1	1	1	3	1048	304	276	77	96.504494	Canal
5	1	1	1	1	4	1360	305	178	75	96.586281	and
4	1	1	1	2	0	0	423	1405	97	-1	
5	1	1	1	2	1	0	424	152	87	10.983627	sao
5	1	1	1	2	2	493	423	150	76	96.497856	the
5	1	1	1	2	3	681	423	492	76	96.606216	Forbidden
5	1	1	1	2	4	1208	423	197	97	96.839317	City
4	1	1	1	3	0	0	570	1543	104	-1	
5	1	1	1	3	1	0	570	183	96	25.738861	a
5	1	1	1	3	2	206	591	68	27	18.672211	a
5	1	1	1	3	3	627	609	88	50	96.075500	On
5	1	1	1	3	4	738	609	72	50	96.075500	20
5	1	1	1	3	5	830	607	131	67	96.509216	July,
5	1	1	1	3	6	982	625	85	34	96.677673	we
5	1	1	1	3	7	1088	607	213	52	96.653648	started
5	1	1	1	3	8	1325	625	100	34	96.717369	our
5	1	1	1	3	9	1442	611	101	63	95.904091	trip
4	1	1	1	4	0	0	686	1611	102	-1	
5	1	1	1	4	1	0	744	57	44	73.529266	=
5	1	1	1	4	2	79	686	61	17	83.161636	=
5	1	1	1	4	3	491	695	139	53	96.663269	from
5	1	1	1	4	4	651	696	95	52	93.295654	the
5	1	1	1	4	5	767	696	293	67	90.580467	Tongzhou
5	1	1	1	4	6	1087	699	213	49	95.679771	District
5	1	1	1	4	7	1321	699	47	48	96.607704	in
5	1	1	1	4	8	1394	699	217	64	96.779549	Beijing.
3	1	1	2	0	0	192	780	1377	249	-1	
4	1	1	2	1	0	496	784	979	68	-1	
5	1	1	2	1	1	496	788	200	64	96.095840	During
5	1	1	2	1	2	717	784	96	52	95.839340	the
5	1	1	2	1	3	832	788	165	56	95.839340	Yuan,
5	1	1	2	1	4	1023	788	146	64	96.225037	Ming
5	1	1	2	1	5	1193	784	112	53	96.676811	and
5	1	1	2	1	6	1328	787	147	65	88.398193	Qing
4	1	1	2	2	0	494	873	1075	67	-1	
5	1	1	2	2	1	494	873	285	67	95.730759	dynasties
5	1	1	2	2	2	800	875	364	59	83.270248	(1271-1911),
5	1	1	2	2	3	1186	873	153	67	96.610023	ships
5	1	1	2	2	4	1360	873	209	52	96.548157	carried
4	1	1	2	3	0	494	962	935	67	-1	
5	1	1	2	3	1	494	965	152	64	96.545227	grain
5	1	1	2	3	2	669	962	111	52	95.778748	and
5	1	1	2	3	3	806	962	243	67	96.026169	building
5	1	1	2	3	4	1075	962	277	52	96.321655	materials
5	1	1	2	3	5	1370	971	59	43	96.667740	to
3	1	1	3	0	0	0	1051	1563	171	-1	
4	1	1	3	1	0	496	1051	609	67	-1	
5	1	1	3	1	1	496	1054	200	64	96.594322	Beijing
5	1	1	3	1	2	721	1068	71	35	96.764259	on
5	1	1	3	1	3	813	1051	95	51	96.611282	the
5	1	1	3	1	4	931	1051	174	51	95.058014	canal.
4	1	1	3	2	0	0	1139	1563	83	-1	
5	1	1	3	2	1	0	1153	238	69	31.654655	=
5	1	1	3	2	2	625	1142	98	49	96.873695	We
5	1	1	3	2	3	742	1139	264	52	95.557777	travelled
5	1	1	3	2	4	1029	1139	162	52	96.205246	south
5	1	1	3	2	5	1214	1139	113	52	96.205246	and
5	1	1	3	2	6	1352	1139	211	67	96.225052	passed
3	1	1	4	0	0	5	1228	1510	393	-1	
4	1	1	4	1	0	116	1228	1399	76	-1	
5	1	1	4	1	1	116	1254	22	50	79.716599	F
5	1	1	4	1	2	160	1245	18	52	47.482689	4
5	1	1	4	1	3	491	1228	238	67	92.970268	through
5	1	1	4	1	4	755	1231	218	64	91.501328	Linging
5	1	1	4	1	5	996	1230	119	65	96.058609	City
5	1	1	4	1	6	1137	1231	47	48	95.553116	in
5	1	1	4	1	7	1206	1228	309	67	96.488159	Shandong
4	1	1	4	2	0	55	1306	1395	111	-1	
5	1	1	4	2	1	55	1320	46	97	10.948631	&
5	1	1	4	2	2	140	1306	68	102	67.657227	&
5	1	1	4	2	3	496	1320	267	49	96.397141	Province.
5	1	1	4	2	4	790	1317	120	51	96.308937	Dad
5	1	1	4	2	5	932	1316	117	53	96.308937	told
5	1	1	4	2	6	1074	1334	104	43	93.295517	me,
5	1	1	4	2	7	1202	1320	248	64	92.555283	“Linging
4	1	1	4	3	0	8	1387	1375	129	-1	
5	1	1	4	3	1	8	1464	2	4	28.836929	|
5	1	1	4	3	2	13	1387	197	129	51.237488	gs.
5	1	1	4	3	3	496	1405	268	67	96.616135	provided
5	1	1	4	3	4	789	1405	105	52	96.723541	lots
5	1	1	4	3	5	914	1405	60	52	96.925468	of
5	1	1	4	3	6	994	1405	174	52	96.565681	bricks
5	1	1	4	3	7	1187	1404	84	53	96.762253	for
5	1	1	4	3	8	1288	1405	95	52	96.758591	the
4	1	1	4	4	0	5	1476	1433	145	-1	
5	1	1	4	4	1	5	1476	223	145	49.758667	_
5	1	1	4	4	2	496	1494	310	52	95.866249	Forbidden
5	1	1	4	4	3	830	1496	156	65	93.783401	City.”
5	1	1	4	4	4	1010	1497	133	49	95.762459	How
5	1	1	4	4	5	1163	1497	275	64	95.762459	amazing!
