level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	156	164	1588	1468	-1	
3	1	1	1	0	0	156	164	1588	1468	-1	
4	1	1	1	1	0	290	164	1068	60	-1	
5	1	1	1	1	1	290	164	208	52	19.510834	What's
5	1	1	1	1	2	521	182	167	42	96.190887	more,
5	1	1	1	1	3	710	164	94	52	96.502380	the
5	1	1	1	1	4	830	166	121	50	96.730759	PBC
5	1	1	1	1	5	974	164	98	52	96.616814	has
5	1	1	1	1	6	1095	182	124	34	96.145699	now
5	1	1	1	1	7	1239	164	119	52	96.293747	also
4	1	1	1	2	0	160	252	1254	70	-1	
5	1	1	1	2	1	160	253	186	51	96.432053	issued
5	1	1	1	2	2	368	252	95	52	96.342751	the
5	1	1	1	2	3	487	256	229	48	89.398216	nation’s
5	1	1	1	2	4	737	252	480	70	68.438446	digitalcurrency,
5	1	1	1	2	5	1241	270	61	34	95.862885	or
5	1	1	1	2	6	1318	252	96	52	96.506142	the
4	1	1	1	3	0	159	340	1254	68	-1	
5	1	1	1	3	1	159	343	207	50	83.907516	e-CNY.
5	1	1	1	3	2	391	344	34	49	96.030991	It
5	1	1	1	3	3	447	345	40	48	96.030991	is
5	1	1	1	3	4	506	340	125	61	96.275093	fast,
5	1	1	1	3	5	654	340	196	68	96.281120	cheap,
5	1	1	1	3	6	872	340	122	53	96.281120	safe
5	1	1	1	3	7	1015	341	111	52	96.825348	and
5	1	1	1	3	8	1150	341	157	67	96.862518	good
5	1	1	1	3	9	1328	340	85	53	96.975677	for
4	1	1	1	4	0	156	430	1588	98	-1	
5	1	1	1	4	1	156	430	95	52	97.000046	the
5	1	1	1	4	2	274	433	395	49	96.388382	environment.
5	1	1	1	4	3	1698	444	46	84	40.850227	/
4	1	1	1	5	0	1248	604	178	43	-1	
5	1	1	1	5	1	1248	604	178	43	35.595810	—_
4	1	1	1	6	0	420	776	952	72	-1	
5	1	1	1	6	1	420	809	39	23	61.555637	“
5	1	1	1	6	2	1116	776	28	42	23.603592	.
5	1	1	1	6	3	1361	812	11	36	0.000000	:'
4	1	1	1	7	0	308	1561	159	71	-1	
5	1	1	1	7	1	308	1561	159	71	0.000000	se
