level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	0	518	1778	1518	-1	
3	1	1	1	0	0	0	518	1778	1518	-1	
4	1	1	1	1	0	294	518	1217	67	-1	
5	1	1	1	1	1	294	522	72	56	96.529556	Hi,
5	1	1	1	1	2	390	522	296	63	95.821808	everyone!
5	1	1	1	1	3	714	522	7	47	72.108955	|
5	1	1	1	1	4	745	536	88	33	72.108955	am
5	1	1	1	1	5	861	522	192	48	92.294418	Mount
5	1	1	1	1	6	1074	518	437	67	90.867744	Qomolangma.
4	1	1	1	2	0	157	607	1304	67	-1	
5	1	1	1	2	1	157	611	109	48	96.895744	You
5	1	1	1	2	2	293	607	169	60	96.005966	know,
5	1	1	1	2	3	488	611	8	47	83.127922	|
5	1	1	1	2	4	520	625	89	33	83.127922	am
5	1	1	1	2	5	631	607	94	52	96.345322	the
5	1	1	1	2	6	751	607	219	67	96.480225	highest
5	1	1	1	2	7	993	611	279	48	96.828644	mountain
5	1	1	1	2	8	1298	611	46	47	95.679810	in
5	1	1	1	2	9	1366	607	95	52	96.918175	the
4	1	1	1	3	0	158	696	185	52	-1	
5	1	1	1	3	1	158	696	185	52	96.605591	world.
4	1	1	1	4	0	882	1187	896	89	-1	
5	1	1	1	4	1	882	1200	170	75	12.037140	SN
5	1	1	1	4	2	1067	1218	64	41	32.112289	ae
5	1	1	1	4	3	1148	1198	97	65	36.403366	NG
5	1	1	1	4	4	1269	1202	102	51	27.859657	oe
5	1	1	1	4	5	1443	1202	32	50	27.884598	GL
5	1	1	1	4	6	1687	1187	91	89	39.592232	WE
4	1	1	1	5	0	0	1611	1609	72	-1	
5	1	1	1	5	1	0	1641	17	23	0.000000	.
5	1	1	1	5	2	501	1616	13	17	52.009468	¥
5	1	1	1	5	3	549	1618	45	65	0.000000	i
5	1	1	1	5	4	690	1620	21	13	39.261734	aa
5	1	1	1	5	5	790	1618	113	49	33.550751	Eo
5	1	1	1	5	6	959	1640	139	32	0.000000	<a
5	1	1	1	5	7	1204	1611	55	37	5.893890	eo
5	1	1	1	5	8	1317	1660	77	9	54.368778	SS
5	1	1	1	5	9	1564	1618	45	54	34.650993	~~
4	1	1	1	6	0	40	1725	1731	77	-1	
5	1	1	1	6	1	40	1743	41	50	0.000000	/
5	1	1	1	6	2	186	1730	138	54	0.000000	&<B
5	1	1	1	6	3	503	1744	9	8	81.330994	.
5	1	1	1	6	4	824	1741	180	61	24.136993	eo
5	1	1	1	6	5	1427	1725	119	55	5.700638	SS
5	1	1	1	6	6	1606	1741	165	67	56.740551	—
4	1	1	1	7	0	543	1869	1136	58	-1	
5	1	1	1	7	1	543	1869	258	58	40.626240	eee
5	1	1	1	7	2	1664	1872	15	7	51.443321	=
4	1	1	1	8	0	105	1969	492	67	-1	
5	1	1	1	8	1	105	1969	134	67	37.120171	090,
5	1	1	1	8	2	595	2005	2	4	84.780998	|
