level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	0	518	1778	1387	-1	
3	1	1	1	0	0	59	518	1719	914	-1	
4	1	1	1	1	0	290	518	1212	68	-1	
5	1	1	1	1	1	290	518	136	68	95.892822	Why
5	1	1	1	1	2	446	518	92	52	96.812019	did
5	1	1	1	1	3	560	536	85	34	96.769150	we
5	1	1	1	1	4	667	518	214	53	96.610535	choose
5	1	1	1	1	5	901	528	59	42	95.762527	to
5	1	1	1	1	6	985	518	210	68	96.423126	paddle
5	1	1	1	1	7	1217	518	168	68	96.335075	along
5	1	1	1	1	8	1407	518	95	53	96.411171	the
4	1	1	1	2	0	162	607	1457	67	-1	
5	1	1	1	2	1	162	607	536	67	92.285835	Beijing-Hangzhou
5	1	1	1	2	2	723	607	186	52	96.058273	Grand
5	1	1	1	2	3	933	607	207	52	95.322197	Canal?
5	1	1	1	2	4	1164	610	33	49	95.141205	It
5	1	1	1	2	5	1219	611	40	48	96.635750	is
5	1	1	1	2	6	1278	607	95	52	96.138611	the
5	1	1	1	2	7	1399	607	220	67	96.138611	longest
4	1	1	1	3	0	159	697	1419	67	-1	
5	1	1	1	3	1	159	697	111	52	95.981468	and
5	1	1	1	3	2	295	697	186	52	95.996628	oldest
5	1	1	1	3	3	501	697	158	52	96.450409	canal
5	1	1	1	3	4	683	701	47	47	96.204575	in
5	1	1	1	3	5	751	697	97	52	96.740555	the
5	1	1	1	3	6	867	697	187	52	96.207657	world.
5	1	1	1	3	7	1079	697	204	67	96.062698	People
5	1	1	1	3	8	1307	697	190	67	94.940620	began
5	1	1	1	3	9	1518	707	60	42	94.940620	to
4	1	1	1	4	0	360	1077	1418	39	-1	
5	1	1	1	4	1	360	1094	3	6	82.468460	:
5	1	1	1	4	2	568	1095	24	6	0.000000	%
5	1	1	1	4	3	692	1098	13	3	23.166718	~
5	1	1	1	4	4	746	1089	11	8	23.166718	a
5	1	1	1	4	5	1367	1090	81	16	38.741188	a
5	1	1	1	4	6	1594	1077	23	39	46.262280	le
5	1	1	1	4	7	1629	1077	37	39	37.133900	ae
5	1	1	1	4	8	1735	1086	43	18	0.000000	ei
4	1	1	1	5	0	59	1383	1681	53	-1	
5	1	1	1	5	1	59	1383	78	39	29.943687	|
5	1	1	1	5	2	163	1396	13	40	20.096039	zs
5	1	1	1	5	3	189	1401	27	29	53.275646	on
5	1	1	1	5	4	315	1401	12	33	23.516396	ss
5	1	1	1	5	5	387	1401	149	26	26.340347	eee
5	1	1	1	5	6	559	1400	83	14	9.030167	Se
5	1	1	1	5	7	665	1393	58	39	0.000000	ini
5	1	1	1	5	8	782	1394	15	36	69.961555	|
5	1	1	1	5	9	871	1397	49	7	37.702728	ia
5	1	1	1	5	10	978	1420	5	4	33.981453	L
5	1	1	1	5	11	1006	1410	3	12	68.615440	|
5	1	1	1	5	12	1106	1398	70	22	3.587326	Cn
5	1	1	1	5	13	1171	1394	36	36	19.751602	ie
5	1	1	1	5	14	1272	1401	13	26	14.753067	~
5	1	1	1	5	15	1311	1400	93	24	0.000000	.@iGhe
5	1	1	1	5	16	1737	1422	3	2	0.000000	-
3	1	1	2	0	0	0	1381	1778	520	-1	
4	1	1	2	1	0	0	1381	1305	132	-1	
5	1	1	2	1	1	0	1381	335	110	15.227875	eee)
5	1	1	2	1	2	392	1392	637	93	22.063126	ee
4	1	1	2	2	0	0	1684	1583	67	-1	
5	1	1	2	2	1	0	1706	140	42	54.901375	ak
5	1	1	2	2	2	347	1689	547	60	26.593559	See
5	1	1	2	2	3	934	1707	77	42	0.000000	RN,
5	1	1	2	2	4	1165	1684	18	22	0.000000	‘
5	1	1	2	2	5	1237	1733	3	4	0.000000	\
5	1	1	2	2	6	1282	1725	33	12	12.387016	hy
5	1	1	2	2	7	1339	1702	111	49	41.200390	SSS
5	1	1	2	2	8	1476	1684	17	11	27.341545	=
5	1	1	2	2	9	1548	1730	35	2	55.484985	—
4	1	1	2	3	0	0	1728	1778	52	-1	
5	1	1	2	3	1	0	1731	111	49	25.651123	a
5	1	1	2	3	2	159	1731	127	49	39.556313	aS
5	1	1	2	3	3	302	1731	29	49	21.296303	a
5	1	1	2	3	4	379	1731	95	49	37.585236	ee
5	1	1	2	3	5	887	1728	64	34	55.763573	age
5	1	1	2	3	6	1050	1751	72	10	53.557743	ae
5	1	1	2	3	7	1207	1730	108	27	21.575844	See
5	1	1	2	3	8	1729	1733	49	32	32.723419	ral
4	1	1	2	4	0	0	1739	1507	166	-1	
5	1	1	2	4	1	0	1755	560	110	58.471863	SSS
5	1	1	2	4	2	567	1805	283	80	29.200127	42>
5	1	1	2	4	3	985	1739	522	166	9.636078	—————
