level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	159	157	1619	1570	-1	
3	1	1	1	0	0	159	157	1619	1579	-1	
4	1	1	1	1	0	162	157	1132	76	-1	
5	1	1	1	1	1	162	157	379	76	96.709274	Chinese
5	1	1	1	1	2	578	159	716	74	95.799530	Measurements
4	1	1	1	2	0	292	341	897	60	-1	
5	1	1	1	2	1	292	343	157	50	96.988892	Since
5	1	1	1	2	2	474	343	156	58	95.504044	1966,
5	1	1	1	2	3	655	341	239	52	96.002525	Chinese
5	1	1	1	2	4	915	345	274	48	95.984261	scientists
4	1	1	1	3	0	162	430	1612	63	-1	
5	1	1	1	3	1	162	430	139	52	96.162827	have
5	1	1	1	3	2	319	430	139	52	96.162827	tried
5	1	1	1	3	3	481	448	168	34	96.322449	seven
5	1	1	1	3	4	671	433	163	49	96.614769	times
5	1	1	1	3	5	852	440	60	42	96.333420	to
5	1	1	1	3	6	936	448	256	34	96.333420	measure
5	1	1	1	3	7	1770	482	4	11	19.870033	,
4	1	1	1	4	0	161	519	1617	66	-1	
5	1	1	1	4	1	161	537	104	33	96.172432	me.
5	1	1	1	4	2	285	519	146	66	96.172432	They
5	1	1	1	4	3	452	519	323	51	96.689041	succeeded
5	1	1	1	4	4	796	519	156	51	96.604744	three
5	1	1	1	4	5	973	522	161	48	96.391113	times
5	1	1	1	4	6	1157	522	46	47	95.440475	in
5	1	1	1	4	7	1712	516	33	22	0.000000	Sy
5	1	1	1	4	8	1777	520	1	14	68.117401	|
4	1	1	1	5	0	159	555	1619	139	-1	
5	1	1	1	5	1	159	611	216	63	96.382652	getting
5	1	1	1	5	2	398	617	257	42	96.179741	accurate
5	1	1	1	5	3	678	607	133	52	96.022484	data
5	1	1	1	5	4	836	607	59	52	96.121117	of
5	1	1	1	5	5	916	625	84	49	96.902832	my
5	1	1	1	5	6	1024	607	203	67	95.988007	height.
5	1	1	1	5	7	1689	555	89	139	90.030319	4
4	1	1	1	6	0	159	695	1441	90	-1	
5	1	1	1	6	1	159	698	88	50	95.226601	On
5	1	1	1	6	2	271	696	139	52	95.226601	each
5	1	1	1	6	3	435	695	59	53	95.453232	of
5	1	1	1	6	4	509	696	96	52	96.492973	the
5	1	1	1	6	5	624	696	157	52	96.030373	three
5	1	1	1	6	6	801	699	177	57	96.642349	times,
5	1	1	1	6	7	1001	715	32	32	96.179077	a
5	1	1	1	6	8	1057	714	180	49	96.179077	group
5	1	1	1	6	9	1568	747	32	38	41.137154	.
5	1	1	1	6	10	1748	692	17	9	0.000000	,
4	1	1	1	7	0	159	784	1408	134	-1	
5	1	1	1	7	1	159	784	60	52	96.830109	of
5	1	1	1	7	2	239	785	167	51	96.659477	brave
5	1	1	1	7	3	427	788	274	48	96.219124	scientists
5	1	1	1	7	4	722	785	239	51	96.416954	climbed
5	1	1	1	7	5	982	794	60	42	96.550598	to
5	1	1	1	7	6	1066	803	86	48	96.543266	my
5	1	1	1	7	7	1382	841	3	3	2.514862	.
5	1	1	1	7	8	1455	786	112	132	0.000000	—
4	1	1	1	8	0	162	873	1289	67	-1	
5	1	1	1	8	1	162	873	219	67	96.213860	highest
5	1	1	1	8	2	404	877	167	63	96.249329	point.
5	1	1	1	8	3	592	873	120	52	95.849640	This
5	1	1	1	8	4	735	877	41	48	96.513298	is
5	1	1	1	8	5	822	892	6	32	96.234665	a
5	1	1	1	8	6	852	873	324	67	96.657761	dangerous
5	1	1	1	8	7	1448	923	3	3	40.858093	|
4	1	1	1	9	0	717	1421	1061	82	-1	
5	1	1	1	9	1	717	1421	181	80	0.178925	ota
5	1	1	1	9	2	1135	1429	63	64	65.711334	ad
5	1	1	1	9	3	1227	1435	23	43	0.000000	h
5	1	1	1	9	4	1319	1442	300	51	0.000000	ONaeere
5	1	1	1	9	5	1659	1418	119	85	15.623398	Oe
4	1	1	1	10	0	183	1460	1593	130	-1	
5	1	1	1	10	1	183	1518	2	3	46.602398	|
5	1	1	1	10	2	751	1498	78	31	36.699162	pis,
5	1	1	1	10	3	857	1496	21	31	52.908321	3\:
5	1	1	1	10	4	1168	1533	3	3	25.213089	|
5	1	1	1	10	5	1248	1460	97	130	25.586472	y
5	1	1	1	10	6	1359	1498	68	92	69.729561	>
5	1	1	1	10	7	1401	1486	279	57	16.743500	Siri
5	1	1	1	10	8	1583	1482	36	83	29.944145	ae
5	1	1	1	10	9	1696	1500	80	61	36.875248	gl
4	1	1	1	11	0	259	1587	1497	72	-1	
5	1	1	1	11	1	259	1587	215	68	26.608170	“fi
5	1	1	1	11	2	493	1596	122	18	39.388847	ieee
5	1	1	1	11	3	773	1589	206	65	30.329758	es
5	1	1	1	11	4	1423	1589	100	70	37.221428	Sy
5	1	1	1	11	5	1592	1632	24	12	47.015495	|
5	1	1	1	11	6	1671	1596	85	53	37.751499	eS
4	1	1	1	12	0	191	1643	1574	84	-1	
5	1	1	1	12	1	191	1654	142	63	4.193375	ee
5	1	1	1	12	2	381	1653	254	83	40.664555	ei,
5	1	1	1	12	3	688	1673	49	42	24.480484	i
5	1	1	1	12	4	777	1643	215	62	25.479195	eM
5	1	1	1	12	5	1031	1654	38	66	8.088905	3
5	1	1	1	12	6	1183	1670	29	47	34.438461	Ree
5	1	1	1	12	7	1553	1653	121	51	24.777351	Ae
