level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	2	552	1198	1648	-1	
3	1	1	1	0	0	2	552	1198	1648	-1	
4	1	1	1	1	0	2	552	1186	115	-1	
5	1	1	1	1	1	2	624	6	13	73.220215	@e
5	1	1	1	1	2	627	583	199	39	57.246696	7°
4	1	1	1	2	0	8	757	591	54	-1	
5	1	1	1	2	1	8	804	2	3	56.260876	|
5	1	1	1	2	2	298	797	23	13	68.395203	My
5	1	1	1	2	3	555	757	44	54	92.206512	4
4	1	1	1	3	0	261	809	633	45	-1	
5	1	1	1	3	1	261	809	68	25	14.022034	ie
5	1	1	1	3	2	560	812	17	17	14.894829	:
4	1	1	1	4	0	598	1289	62	56	-1	
5	1	1	1	4	1	598	1289	62	56	67.511002	a
4	1	1	1	5	0	368	1368	300	63	-1	
5	1	1	1	5	1	368	1374	23	34	43.756836	\
5	1	1	1	5	2	451	1428	3	3	19.706337	,
5	1	1	1	5	3	645	1368	23	18	40.598206	»
4	1	1	1	6	0	864	2094	217	34	-1	
5	1	1	1	6	1	864	2095	101	27	14.863998	Pa
4	1	1	1	7	0	838	2131	362	69	-1	
5	1	1	1	7	1	838	2134	34	48	5.535034	.
5	1	1	1	7	2	966	2155	31	29	0.210709	)
5	1	1	1	7	3	1196	2198	4	2	40.175480	a
