level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	156	156	1461	1824	-1	
3	1	1	1	0	0	159	156	947	78	-1	
4	1	1	1	1	0	159	156	947	78	-1	
5	1	1	1	1	1	159	156	186	77	96.691475	The
5	1	1	1	1	2	381	157	245	76	95.992729	Road
5	1	1	1	1	3	658	164	92	69	92.669662	to
5	1	1	1	1	4	787	156	319	78	89.475212	E-CNY
3	1	1	2	0	0	160	341	1457	156	-1	
4	1	1	2	1	0	290	341	1327	67	-1	
5	1	1	2	1	1	290	344	75	49	96.677666	As
5	1	1	2	1	2	386	341	173	52	96.176590	China
5	1	1	2	1	3	581	341	299	52	95.749794	continued
5	1	1	2	1	4	901	351	58	42	95.749794	to
5	1	1	2	1	5	982	341	242	67	96.330429	develop
5	1	1	2	1	6	1246	341	110	52	95.786697	and
5	1	1	2	1	7	1381	341	236	67	95.786697	change,
4	1	1	2	2	0	160	430	731	67	-1	
5	1	1	2	2	1	160	433	64	49	96.265320	its
5	1	1	2	2	2	248	448	203	49	96.813431	money
5	1	1	2	2	3	470	430	118	52	96.045044	also
5	1	1	2	2	4	611	430	280	67	96.045044	changed.
3	1	1	3	0	0	156	518	1427	407	-1	
4	1	1	3	1	0	294	518	1245	68	-1	
5	1	1	3	1	1	294	522	47	47	96.762199	In
5	1	1	3	1	2	369	520	156	59	96.520294	1948,
5	1	1	3	1	3	545	518	96	52	96.362129	the
5	1	1	3	1	4	665	518	248	68	96.345306	People’s
5	1	1	3	1	5	936	518	149	51	96.669769	Bank
5	1	1	3	1	6	1104	518	60	52	96.669769	of
5	1	1	3	1	7	1182	519	172	52	95.091156	China
5	1	1	3	1	8	1377	520	162	59	95.091156	(PBC)
4	1	1	3	2	0	160	606	1407	62	-1	
5	1	1	3	2	1	160	607	186	52	96.617928	issued
5	1	1	3	2	2	368	607	95	52	95.582329	the
5	1	1	3	2	3	483	606	115	53	96.049629	first
5	1	1	3	2	4	618	611	171	48	96.049629	series
5	1	1	3	2	5	811	606	60	53	95.734421	of
5	1	1	3	2	6	885	607	95	52	95.734421	the
5	1	1	3	2	7	1005	607	263	52	95.585022	renminbi
5	1	1	3	2	8	1290	609	191	59	95.585022	(RMB),
5	1	1	3	2	9	1505	625	62	34	96.873451	or
4	1	1	3	3	0	156	696	1426	67	-1	
5	1	1	3	3	1	156	696	95	52	93.237862	the
5	1	1	3	3	2	274	696	281	67	89.472450	“people’s
5	1	1	3	3	3	576	699	298	64	95.709160	currency”.
5	1	1	3	3	4	895	696	111	52	96.757828	The
5	1	1	3	3	5	1030	699	136	48	95.168961	RMB
5	1	1	3	3	6	1186	696	132	52	95.168961	then
5	1	1	3	3	7	1345	696	237	52	96.523514	became
4	1	1	3	4	0	156	784	1427	68	-1	
5	1	1	3	4	1	156	785	95	51	96.842552	the
5	1	1	3	4	2	274	784	199	52	96.658875	official
5	1	1	3	4	3	497	802	259	49	96.257584	currency
