level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	101	164	1514	1935	-1	
3	1	1	1	0	0	157	164	1433	229	-1	
4	1	1	1	1	0	294	164	1133	67	-1	
5	1	1	1	1	1	294	167	163	64	96.277992	Many
5	1	1	1	1	2	480	164	314	67	96.526810	languages
5	1	1	1	1	3	818	167	46	48	95.689468	in
5	1	1	1	1	4	886	164	94	52	96.550896	the
5	1	1	1	1	5	1002	164	167	51	96.347504	world
5	1	1	1	1	6	1196	164	139	51	96.276672	have
5	1	1	1	1	7	1357	182	70	33	96.192589	an
4	1	1	1	2	0	159	253	1431	68	-1	
5	1	1	1	2	1	159	254	286	67	96.637367	alphabet.
5	1	1	1	2	2	466	254	146	67	96.515678	They
5	1	1	1	2	3	634	272	98	34	94.958542	use
5	1	1	1	2	4	755	273	31	32	94.958542	a
5	1	1	1	2	5	808	253	107	53	96.310333	few
5	1	1	1	2	6	937	254	179	52	96.177620	dozen
5	1	1	1	2	7	1143	254	185	52	96.138527	letters
5	1	1	1	2	8	1348	264	58	42	96.448914	to
5	1	1	1	2	9	1430	254	160	51	96.666199	make
4	1	1	1	3	0	157	341	199	52	-1	
5	1	1	1	3	1	157	341	199	52	96.561447	words.
3	1	1	2	0	0	158	429	1457	245	-1	
4	1	1	2	1	0	294	429	1321	68	-1	
5	1	1	2	1	1	294	433	98	49	96.267441	But
5	1	1	2	1	2	408	430	96	52	96.267441	the
5	1	1	2	1	3	526	430	241	52	95.205833	Chinese
5	1	1	2	1	4	791	430	284	67	95.765701	language
5	1	1	2	1	5	1099	433	39	48	96.664024	is
5	1	1	2	1	6	1161	429	273	53	96.840446	different.
5	1	1	2	1	7	1459	433	34	48	94.181366	It
5	1	1	2	1	8	1516	430	99	52	96.999527	has
4	1	1	2	2	0	158	518	1347	67	-1	
5	1	1	2	2	1	158	537	65	33	95.892029	so
5	1	1	2	2	2	247	537	163	48	96.829430	many
5	1	1	2	2	3	430	518	332	52	96.846756	characters.
5	1	1	2	2	4	784	519	122	51	95.617645	And
5	1	1	2	2	5	930	519	141	51	96.034470	each
5	1	1	2	2	6	1096	519	286	51	96.843231	character
5	1	1	2	2	7	1405	519	100	51	96.843231	has
4	1	1	2	3	0	159	607	1216	67	-1	
5	1	1	2	3	1	159	625	111	34	94.084373	one
5	1	1	2	3	2	292	625	61	34	94.084373	or
5	1	1	2	3	3	376	625	151	34	95.818222	more
5	1	1	2	3	4	550	607	228	52	95.818222	strokes.
5	1	1	2	3	5	803	609	211	65	96.356087	Storing
5	1	1	2	3	6	1035	607	152	52	96.091927	them
5	1	1	2	3	7	1214	611	46	47	96.657524	in
5	1	1	2	3	8	1281	607	94	52	96.873039	the
3	1	1	3	0	0	105	1097	1440	998	-1	
4	1	1	3	1	0	1487	1163	56	67	-1	
5	1	1	3	1	1	1487	1163	56	67	58.749573	‘
4	1	1	3	2	0	101	1505	1253	594	-1	
5	1	1	3	2	1	101	1924	132	175	11.938026	Ss
5	1	1	3	2	2	886	1505	468	510	49.286400	te
