level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	147	246	1566	1783	-1	
3	1	1	1	0	0	147	246	1580	1784	-1	
4	1	1	1	1	0	160	246	1056	97	-1	
5	1	1	1	1	1	160	246	184	75	96.930550	The
5	1	1	1	1	2	381	246	380	75	95.397285	Modern
5	1	1	1	1	3	797	248	94	71	83.392410	Bi
5	1	1	1	1	4	928	246	288	97	96.015457	Sheng
4	1	1	1	2	0	1666	390	6	37	-1	
5	1	1	1	2	1	1666	390	6	37	77.396278	}
4	1	1	1	3	0	289	419	1424	106	-1	
5	1	1	1	3	1	289	430	196	67	96.182152	Today,
5	1	1	1	3	2	508	430	122	51	96.169945	with
5	1	1	1	3	3	657	430	232	51	96.169945	modern
5	1	1	1	3	4	1341	419	120	106	0.000000	il
5	1	1	1	3	5	1591	432	122	73	0.000000	aii
4	1	1	1	4	0	156	518	1465	67	-1	
5	1	1	1	4	1	156	518	351	67	95.630692	technology,
5	1	1	1	4	2	530	537	83	33	95.478706	we
5	1	1	1	4	3	637	519	153	51	74.557854	don’t
5	1	1	1	4	4	813	519	146	51	96.772171	need
5	1	1	1	4	5	986	519	190	51	96.961365	blocks
5	1	1	1	4	6	1611	513	116	65	16.051315	ry
4	1	1	1	5	0	159	600	1483	74	-1	
5	1	1	1	5	1	159	625	61	34	96.682297	or
5	1	1	1	5	2	237	617	165	57	96.543159	types
5	1	1	1	5	3	421	617	59	42	95.995148	to
5	1	1	1	5	4	505	611	152	63	96.078415	print.
5	1	1	1	5	5	678	611	97	48	96.211914	We
5	1	1	1	5	6	799	625	101	34	96.580704	can
5	1	1	1	5	7	922	617	134	57	96.413040	type
5	1	1	1	5	8	1592	600	50	51	73.972458	A
4	1	1	1	6	0	159	696	1081	67	-1	
5	1	1	1	6	1	159	696	240	52	95.643692	Chinese
5	1	1	1	6	2	421	696	316	52	95.888626	characters
5	1	1	1	6	3	761	700	110	47	95.981445	into
5	1	1	1	6	4	914	715	10	32	95.620201	a
5	1	1	1	6	5	948	706	292	57	95.620201	computer
4	1	1	1	7	0	159	786	734	67	-1	
5	1	1	1	7	1	159	786	111	52	95.982147	and
5	1	1	1	7	2	292	786	131	52	96.346710	then
5	1	1	1	7	3	449	790	138	63	96.606735	print
5	1	1	1	7	4	605	786	152	52	95.966125	them
5	1	1	1	7	5	781	796	112	42	96.595245	out.
4	1	1	1	8	0	272	1118	425	45	-1	
5	1	1	1	8	1	272	1118	35	43	47.772469	A
5	1	1	1	8	2	634	1100	63	67	0.000000	.
4	1	1	1	9	0	360	1203	350	47	-1	
5	1	1	1	9	1	256	1190	20	21	26.540466	|
4	1	1	1	10	0	313	1235	323	76	-1	
5	1	1	1	10	1	313	1235	53	76	41.952610	C,
5	1	1	1	10	2	632	1275	4	1	38.853165	;
4	1	1	1	11	0	147	1423	777	57	-1	
5	1	1	1	11	1	147	1446	16	11	0.811783	<7
5	1	1	1	11	2	178	1427	85	53	21.100082	il
5	1	1	1	11	3	669	1442	51	8	0.000000	——
5	1	1	1	11	4	799	1466	38	14	80.494331	a
5	1	1	1	11	5	913	1423	11	30	24.225304	ba
4	1	1	1	12	0	484	1963	694	66	-1	
5	1	1	1	12	1	370	1963	320	67	49.203209	eee
5	1	1	1	12	2	1142	1977	36	53	30.307838	7
