level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	159	504	1615	1412	-1	
3	1	1	1	0	0	236	504	1538	97	-1	
4	1	1	1	1	0	236	504	1538	97	-1	
5	1	1	1	1	1	236	520	165	64	33.049484	tify
5	1	1	1	1	2	432	515	181	86	39.299812	Suh
5	1	1	1	1	3	1552	504	222	76	45.302483	“ae
3	1	1	2	0	0	159	1317	1461	230	-1	
4	1	1	2	1	0	162	1317	1365	66	-1	
5	1	1	2	1	1	162	1335	182	48	95.670830	pages
5	1	1	2	1	2	364	1335	145	33	95.670830	were
5	1	1	2	1	3	535	1317	230	66	95.506737	printed.
5	1	1	2	1	4	791	1317	204	66	96.441963	People
5	1	1	2	1	5	1020	1317	109	51	96.567352	had
5	1	1	2	1	6	1151	1327	58	41	95.109489	to
5	1	1	2	1	7	1232	1335	162	33	96.773773	carve
5	1	1	2	1	8	1417	1335	110	33	96.301537	one
4	1	1	2	2	0	162	1405	1458	67	-1	
5	1	1	2	2	1	162	1406	160	51	96.636330	block
5	1	1	2	2	2	339	1405	85	52	96.833496	for
5	1	1	2	2	3	443	1406	139	51	96.791626	each
5	1	1	2	2	4	609	1424	167	48	95.200745	page.
5	1	1	2	2	5	799	1407	71	50	95.186295	So
5	1	1	2	2	6	890	1405	105	52	95.186295	this
5	1	1	2	2	7	1014	1424	120	48	96.861458	way
5	1	1	2	2	8	1154	1405	60	52	96.203438	of
5	1	1	2	2	9	1234	1409	228	63	96.241386	printing
5	1	1	2	2	10	1483	1406	137	51	96.786964	took
4	1	1	2	3	0	159	1495	697	52	-1	
5	1	1	2	3	1	159	1515	31	31	93.680557	a
5	1	1	2	3	2	217	1496	72	51	93.680557	lot
5	1	1	2	3	3	310	1495	60	52	96.952789	of
5	1	1	2	3	4	385	1499	131	48	96.728729	time
5	1	1	2	3	5	539	1496	111	51	96.094078	and
5	1	1	2	3	6	674	1495	182	52	95.834419	effort.
3	1	1	3	0	0	161	1583	1425	333	-1	
4	1	1	3	1	0	295	1583	1247	66	-1	
5	1	1	3	1	1	295	1586	199	63	96.626236	During
5	1	1	3	1	2	515	1583	95	51	96.391418	the
5	1	1	3	1	3	635	1583	269	51	96.361496	Northern
5	1	1	3	1	4	929	1585	150	64	96.424637	Song
5	1	1	3	1	5	1106	1586	245	63	93.301422	Dynasty
5	1	1	3	1	6	1371	1585	171	58	58.870743	(960-
4	1	1	3	2	0	163	1671	1371	67	-1	
5	1	1	3	2	1	163	1673	168	59	96.295975	1127),
5	1	1	3	2	2	371	1691	14	31	96.768127	a
5	1	1	3	2	3	410	1672	177	51	95.251389	clever
5	1	1	3	2	4	610	1689	125	33	95.012177	man
5	1	1	3	2	5	762	1672	205	51	96.611237	named
5	1	1	3	2	6	995	1675	49	47	96.555351	Bi
5	1	1	3	2	7	1068	1672	185	66	96.720764	Sheng
5	1	1	3	2	8	1280	1671	254	52	96.665077	invented
4	1	1	3	3	0	162	1760	1424	67	-1	
5	1	1	3	3	1	162	1760	417	67	92.507156	movable-type
5	1	1	3	3	2	604	1764	248	63	96.289665	printing.
5	1	1	3	3	3	872	1760	120	52	96.007401	This
5	1	1	3	3	4	1012	1760	197	52	96.007401	turned
5	1	1	3	3	5	1233	1779	31	32	96.701080	a
5	1	1	3	3	6	1291	1778	121	34	96.472771	new
5	1	1	3	3	7	1434	1778	152	49	96.158325	page
4	1	1	3	4	0	161	1849	779	67	-1	
5	1	1	3	4	1	161	1852	46	47	96.572624	in
5	1	1	3	4	2	231	1849	217	52	23.078781	China's
5	1	1	3	4	3	472	1852	229	64	95.960396	printing
5	1	1	3	4	4	728	1849	212	67	96.548103	history.
