level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	159	156	1366	1916	-1	
3	1	1	1	0	0	159	156	1366	1916	-1	
4	1	1	1	1	0	161	156	954	100	-1	
5	1	1	1	1	1	161	156	447	78	95.757240	Seashells
5	1	1	1	1	2	642	178	102	56	96.779007	as
5	1	1	1	1	3	778	158	337	98	96.446709	Money
4	1	1	1	2	0	293	340	1064	69	-1	
5	1	1	1	2	1	293	340	206	69	94.840057	People
5	1	1	1	2	2	517	340	133	53	96.525452	then
5	1	1	1	2	3	671	340	175	53	96.010048	found
5	1	1	1	2	4	870	344	203	49	96.683540	certain
5	1	1	1	2	5	1094	340	186	69	96.412704	things
5	1	1	1	2	6	1297	350	60	43	96.569237	to
4	1	1	1	3	0	159	429	1085	68	-1	
5	1	1	1	3	1	159	429	292	68	95.561172	exchange
5	1	1	1	3	2	470	429	113	53	96.353943	and
5	1	1	1	3	3	607	429	140	53	95.547607	used
5	1	1	1	3	4	767	429	154	53	96.870476	them
5	1	1	1	3	5	943	447	64	35	95.495201	as
5	1	1	1	3	6	1029	447	215	50	95.495201	money.
4	1	1	1	4	0	292	517	1233	62	-1	
5	1	1	1	4	1	292	522	50	51	96.098450	In
5	1	1	1	4	2	364	522	221	49	96.098450	ancient
5	1	1	1	4	3	604	517	188	62	96.118279	China,
5	1	1	1	4	4	815	536	111	35	96.744301	one
5	1	1	1	4	5	949	517	60	54	96.015739	of
5	1	1	1	4	6	1023	518	96	53	96.372025	the
5	1	1	1	4	7	1138	517	116	54	96.372025	first
5	1	1	1	4	8	1271	517	172	54	96.759003	forms
5	1	1	1	4	9	1463	517	62	54	96.791512	of
4	1	1	1	5	0	527	1215	143	84	-1	
5	1	1	1	5	1	527	1215	143	84	48.468353	‘fa
4	1	1	1	6	0	509	1363	246	128	-1	
5	1	1	1	6	1	509	1363	246	128	28.042648	2G
4	1	1	1	7	0	451	1684	117	99	-1	
5	1	1	1	7	1	451	1684	117	99	17.254654	hd
4	1	1	1	8	0	159	2040	21	32	-1	
5	1	1	1	8	1	159	2040	21	32	96.176804	6
