level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	203	403	1568	1612	-1	
3	1	1	1	0	0	188	324	1590	1691	-1	
4	1	1	1	1	0	236	403	667	198	-1	
5	1	1	1	1	1	236	403	667	198	57.478313	Paying
4	1	1	1	2	0	1184	637	25	24	-1	
5	1	1	1	2	1	1184	637	25	24	46.485115	®
4	1	1	1	3	0	401	637	1200	142	-1	
5	1	1	1	3	1	401	637	597	142	92.060432	Through
5	1	1	1	3	2	1082	637	519	142	95.245544	History
4	1	1	1	4	0	203	784	1568	269	-1	
5	1	1	1	4	1	203	789	487	264	0.000000	O>—
5	1	1	1	4	2	844	789	396	264	0.000000	aml
5	1	1	1	4	3	1428	784	343	92	15.521927	——t
4	1	1	1	5	0	1125	1753	415	63	-1	
5	1	1	1	5	1	1125	1809	58	2	24.775291	ane
5	1	1	1	5	2	1160	1787	71	14	27.131134	aoa
5	1	1	1	5	3	1363	1756	14	8	25.486725	>
5	1	1	1	5	4	1414	1753	91	63	33.147278	Me
5	1	1	1	5	5	1536	1803	4	10	0.000000	:
4	1	1	1	6	0	1112	1846	524	91	-1	
5	1	1	1	6	1	1112	1846	66	91	47.334595	-
5	1	1	1	6	2	1199	1894	31	8	61.632607	x
5	1	1	1	6	3	1356	1924	63	11	25.119827	m
5	1	1	1	6	4	1622	1922	14	5	34.691818	;
4	1	1	1	7	0	1120	1931	569	84	-1	
5	1	1	1	7	1	1120	1939	99	40	77.501907	—
5	1	1	1	7	2	1481	1948	297	59	7.486206	==
