level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	56	660	1705	1420	-1	
3	1	1	1	0	0	56	660	1705	1420	-1	
4	1	1	1	1	0	448	660	83	27	-1	
5	1	1	1	1	1	448	660	43	27	12.708084	Ee
4	1	1	1	2	0	444	774	434	37	-1	
5	1	1	1	2	1	444	774	98	37	18.160126	7
4	1	1	1	3	0	443	793	79	52	-1	
5	1	1	1	3	1	443	793	99	52	37.444374	a
4	1	1	1	4	0	443	867	548	35	-1	
5	1	1	1	4	1	443	867	90	35	28.868134	ae
5	1	1	1	4	2	851	899	3	3	40.547005	-
5	1	1	1	4	3	989	892	2	2	13.614769	:
4	1	1	1	5	0	56	982	409	10	-1	
5	1	1	1	5	1	56	987	2	2	50.406822	x
5	1	1	1	5	2	463	982	2	10	58.423038	i.
4	1	1	1	6	0	474	1076	841	47	-1	
5	1	1	1	6	1	474	1082	6	2	58.362495	=
5	1	1	1	6	2	675	1076	24	29	64.938965	=
5	1	1	1	6	3	714	1093	62	19	32.086670	ero
5	1	1	1	6	4	1023	1102	22	16	52.318024	iy
5	1	1	1	6	5	1082	1083	47	40	46.364113	Ol
5	1	1	1	6	6	1141	1081	68	32	24.768883	os)
5	1	1	1	6	7	1251	1094	13	18	65.601341	\
5	1	1	1	6	8	1274	1082	41	31	0.000000	/P
4	1	1	1	7	0	740	1103	602	42	-1	
5	1	1	1	7	1	740	1118	3	5	36.481773	=
5	1	1	1	7	2	1010	1118	93	20	0.000000	ja—
5	1	1	1	7	3	1113	1103	55	42	35.476463	ry
5	1	1	1	7	4	1182	1115	10	10	36.577103	|
5	1	1	1	7	5	1208	1118	32	15	19.489212	Mew
5	1	1	1	7	6	1286	1112	56	25	34.010330	ES
4	1	1	1	8	0	984	1132	391	33	-1	
5	1	1	1	8	1	984	1135	46	30	0.000000	Ma\
5	1	1	1	8	2	1102	1134	26	29	15.024063	4{\
5	1	1	1	8	3	1182	1132	23	31	45.576511	Vi
5	1	1	1	8	4	1319	1137	56	23	32.493759	A
4	1	1	1	9	0	971	1157	406	47	-1	
5	1	1	1	9	1	971	1157	29	47	64.458725	\\\
5	1	1	1	9	2	1107	1161	3	2	47.236473	a
5	1	1	1	9	3	1129	1168	4	24	52.256531	{
5	1	1	1	9	4	1141	1163	63	27	31.220909	(EO
5	1	1	1	9	5	1301	1160	76	26	13.600601	Nigar
4	1	1	1	10	0	954	1166	412	56	-1	
5	1	1	1	10	1	954	1198	2	3	47.779537	5)
5	1	1	1	10	2	988	1184	16	36	0.000000	\N
5	1	1	1	10	3	1132	1166	26	50	43.525867	\E
5	1	1	1	10	4	1293	1182	73	40	20.276405	\Y
4	1	1	1	11	0	602	1278	821	34	-1	
5	1	1	1	11	1	602	1286	2	3	59.541710	3
5	1	1	1	11	2	756	1283	60	21	43.764954	re
5	1	1	1	11	3	947	1284	126	25	38.013783	See
5	1	1	1	11	4	1082	1278	14	34	0.000000	\
5	1	1	1	11	5	1293	1283	21	8	31.372162	ef
5	1	1	1	11	6	1323	1279	15	34	48.512627	/
5	1	1	1	11	7	1350	1283	73	26	40.549740	Af
4	1	1	1	12	0	795	1338	616	66	-1	
5	1	1	1	12	1	795	1376	16	9	39.274830	e
5	1	1	1	12	2	883	1365	121	39	52.460869	=|
5	1	1	1	12	3	1024	1358	130	39	22.767250	S10
5	1	1	1	12	4	1334	1338	30	61	22.142876	\\\
5	1	1	1	12	5	1384	1362	27	36	65.373260	\\\
4	1	1	1	13	0	789	1398	866	34	-1	
5	1	1	1	13	1	789	1400	17	8	22.590973	“
5	1	1	1	13	2	901	1398	165	34	11.615364	BN
5	1	1	1	13	3	1282	1404	55	18	0.042000	Ke
5	1	1	1	13	4	1370	1398	22	22	0.042000	1\
5	1	1	1	13	5	1649	1417	6	1	50.013702	i
4	1	1	1	14	0	963	1414	781	53	-1	
5	1	1	1	14	1	963	1418	43	30	62.474998	=)
5	1	1	1	14	2	1016	1417	27	33	0.000000	\W)
5	1	1	1	14	3	1049	1417	113	29	39.954704	(ee
5	1	1	1	14	4	1273	1414	121	53	49.398823	lel
5	1	1	1	14	5	1704	1420	40	11	28.179245	2
4	1	1	1	15	0	473	1444	1247	50	-1	
5	1	1	1	15	1	473	1476	11	8	18.098610	:
5	1	1	1	15	2	992	1450	170	44	17.651871	(0
5	1	1	1	15	3	1118	1440	122	58	41.261787	awe
5	1	1	1	15	4	1234	1444	111	42	47.985729	2
5	1	1	1	15	5	1567	1469	64	15	45.964680	—
4	1	1	1	16	0	816	1517	611	39	-1	
5	1	1	1	16	1	816	1541	23	15	49.436371	=i
5	1	1	1	16	2	925	1532	4	4	1.985619	_
5	1	1	1	16	3	1063	1522	64	8	0.000000	——-
5	1	1	1	16	4	1143	1520	30	32	34.518974	Pa
5	1	1	1	16	5	1188	1517	18	37	91.284470	\\
5	1	1	1	16	6	1226	1524	56	20	36.097641	J)
5	1	1	1	16	7	1300	1523	23	7	39.396713	a
5	1	1	1	16	8	1416	1544	11	4	57.026539	=
4	1	1	1	17	0	400	1566	1361	45	-1	
5	1	1	1	17	1	400	1601	52	10	40.270344	a
5	1	1	1	17	2	500	1580	36	18	25.325905	a
5	1	1	1	17	3	997	1607	3	1	15.022339	_
5	1	1	1	17	4	1735	1573	26	4	39.980537	ae
4	1	1	1	18	0	260	1665	1468	55	-1	
5	1	1	1	18	1	260	1665	158	55	17.521927	(Qaeda
