level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	0	245	1752	1628	-1	
3	1	1	1	0	0	160	245	1372	99	-1	
4	1	1	1	1	0	160	245	1372	99	-1	
5	1	1	1	1	1	160	245	431	99	96.189743	Learning
5	1	1	1	1	2	623	253	92	68	95.892128	to
5	1	1	1	1	3	749	246	245	75	95.616447	Walk
5	1	1	1	1	4	1025	245	93	75	92.759293	in
5	1	1	1	1	5	1152	246	380	75	92.759293	Handan
3	1	1	2	0	0	162	430	1420	155	-1	
4	1	1	2	1	0	294	430	1288	67	-1	
5	1	1	2	1	1	294	433	200	64	96.180695	During
5	1	1	2	1	2	515	430	96	52	96.180695	the
5	1	1	2	1	3	632	433	241	64	96.092110	Warring
5	1	1	2	1	4	897	432	182	50	96.859802	States
5	1	1	2	1	5	1102	430	189	52	96.505035	Period
5	1	1	2	1	6	1315	432	267	58	86.145241	(475-221
4	1	1	2	2	0	162	518	1389	67	-1	
5	1	1	2	2	1	162	521	155	58	96.831703	BCE),
5	1	1	2	2	2	337	518	158	52	96.462921	there
5	1	1	2	2	3	516	537	115	33	96.575302	was
5	1	1	2	2	4	653	538	31	31	94.712448	a
5	1	1	2	2	5	705	537	186	48	94.712448	young
5	1	1	2	2	6	917	537	127	32	94.478355	man
5	1	1	2	2	7	1070	522	46	47	94.478355	in
5	1	1	2	2	8	1136	519	96	51	96.140327	the
5	1	1	2	2	9	1252	522	108	47	96.155151	Yan
5	1	1	2	2	10	1384	521	167	50	96.787277	State.
3	1	1	3	0	0	159	606	1453	157	-1	
4	1	1	3	1	0	294	606	1318	68	-1	
5	1	1	3	1	1	294	611	79	48	96.305397	He
5	1	1	3	1	2	394	607	202	67	96.305397	always
5	1	1	3	1	3	617	607	221	52	96.522842	wanted
5	1	1	3	1	4	861	617	58	42	95.940941	to
5	1	1	3	1	5	943	607	73	52	96.292496	be
5	1	1	3	1	6	1040	606	230	68	96.292496	perfect.
5	1	1	3	1	7	1295	611	46	47	95.569069	In
5	1	1	3	1	8	1368	607	78	52	96.630928	his
5	1	1	3	1	9	1467	625	145	49	96.495514	eyes,
4	1	1	3	2	0	159	696	1287	67	-1	
5	1	1	3	2	1	159	696	160	52	97.019188	other
5	1	1	3	2	2	341	696	209	67	96.764923	people
5	1	1	3	2	3	570	714	146	34	96.730095	were
5	1	1	3	2	4	738	696	204	67	96.207985	always
5	1	1	3	2	5	965	696	182	52	96.375641	better
5	1	1	3	2	6	1165	696	132	51	96.019112	than
5	1	1	3	2	7	1324	696	122	51	96.019112	him.
3	1	1	4	0	0	156	785	1422	433	-1	
4	1	1	4	1	0	292	785	1261	67	-1	
5	1	1	4	1	1	292	787	126	50	94.489342	One
5	1	1	4	1	2	441	785	111	66	94.489342	day
5	1	1	4	1	3	575	785	67	51	96.787605	he
5	1	1	4	1	4	668	785	170	51	96.611481	heard
5	1	1	4	1	5	863	802	160	34	95.003693	some
5	1	1	4	1	6	1048	785	209	67	95.003693	people
5	1	1	4	1	7	1277	785	203	66	95.516434	talking
5	1	1	4	1	8	1507	788	46	47	96.958008	in
4	1	1	4	2	0	156	872	1422	68	-1	
5	1	1	4	2	1	156	873	96	52	96.824715	the
