level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1781	2200	-1	
2	1	1	0	0	0	0	164	1626	2036	-1	
3	1	1	1	0	0	0	134	1617	369	-1	
4	1	1	1	1	0	292	164	1325	67	-1	
5	1	1	1	1	1	292	164	204	52	96.359818	“These
5	1	1	1	1	2	520	164	231	52	95.460678	needles
5	1	1	1	1	3	774	164	138	52	95.926033	have
5	1	1	1	1	4	936	167	228	64	93.290672	magic!”
5	1	1	1	1	5	1185	167	158	64	92.149117	Ziyun
5	1	1	1	1	6	1364	164	253	67	96.488510	thought.
4	1	1	1	2	0	161	252	1453	68	-1	
5	1	1	1	2	1	161	256	79	48	96.579208	He
5	1	1	1	2	2	264	252	239	53	95.667603	became
5	1	1	1	2	3	527	252	299	53	95.667603	interested
5	1	1	1	2	4	850	252	112	52	96.658981	and
5	1	1	1	2	5	984	252	213	52	96.416130	started
5	1	1	1	2	6	1220	252	193	68	95.829361	asking
5	1	1	1	2	7	1439	252	120	52	96.412926	Dad
5	1	1	1	2	8	1582	271	32	32	96.427994	a
4	1	1	1	3	0	161	340	1397	69	-1	
5	1	1	1	3	1	161	341	73	52	96.692696	lot
5	1	1	1	3	2	255	340	59	53	96.413193	of
5	1	1	1	3	3	332	344	307	65	95.425430	questions.
5	1	1	1	3	4	663	343	86	58	95.425430	So,
5	1	1	1	3	5	775	341	120	52	96.685295	Dad
5	1	1	1	3	6	920	341	244	52	96.802017	decided
5	1	1	1	3	7	1184	351	60	42	96.645714	to
5	1	1	1	3	8	1263	341	165	52	96.415497	teach
5	1	1	1	3	9	1454	341	104	51	96.415497	him
4	1	1	1	4	0	159	431	591	68	-1	
5	1	1	1	4	1	159	431	176	52	96.589676	about
5	1	1	1	4	2	355	441	395	58	96.368355	acupuncture.
3	1	1	2	0	0	0	636	4	67	-1	
4	1	1	2	1	0	0	636	4	67	-1	
5	1	1	2	1	1	0	636	4	67	61.301998	|
3	1	1	3	0	0	0	708	1285	237	-1	
4	1	1	3	1	0	1217	856	68	89	-1	
5	1	1	3	1	1	1217	856	68	89	7.254417	-
3	1	1	4	0	0	0	931	1402	142	-1	
4	1	1	4	1	0	461	951	941	89	-1	
5	1	1	4	1	1	461	1010	55	30	74.386841	4
5	1	1	4	1	2	1188	951	214	86	22.843193	he
3	1	1	5	0	0	0	1051	1466	92	-1	
4	1	1	5	1	0	0	1051	1466	92	-1	
5	1	1	5	1	1	0	1075	4	36	82.487534	|
5	1	1	5	1	2	494	1051	67	92	38.571850	“A
5	1	1	5	1	3	1210	1055	49	34	24.825142	+
3	1	1	6	0	0	0	1808	1354	96	-1	
4	1	1	6	1	0	878	1808	476	96	-1	
5	1	1	6	1	1	878	1808	60	96	22.953445	pa
5	1	1	6	1	2	1287	1818	67	18	55.534851	~~
3	1	1	7	0	0	0	2085	6	68	-1	
4	1	1	7	1	0	0	2085	6	68	-1	
5	1	1	7	1	1	0	2085	6	68	91.984184	|
